metric_date,open,high,low,close,volume,market_cap,mcap_weekly_growth,mcap_weekly_change,crypto,type
2024-01-07,42280.2352761923,45899.7063545898,40813.5348681668,43943.0972289695,202311773985.07,860951836726.3,4.00340403297077,33140627341.880005,Bitcoin,cryptocoins
2024-01-14,43948.7069553091,48969.3713995297,41724.6137245906,41796.2696064245,259971819745.56,819159863482.62,-4.854159252693002,-41791973243.68005,Bitcoin,cryptocoins
2024-01-21,41715.0665274581,43566.2749235186,40297.4578577579,41545.7835143902,139135824834.73,814488966035.62,-0.5702058481163785,-4670897447.0,Bitcoin,cryptocoins
2024-01-28,41553.6526912489,42797.1773592875,38521.8938882205,42035.5943721701,155314602893.66,824387868796.11,1.2153513642635394,9898902760.48999,Bitcoin,cryptocoins
2024-02-04,42030.9153796232,43838.9468441061,41818.3310863757,42583.5829201294,135184187434.21,835421763160.27,1.338434829259838,11033894364.160034,Bitcoin,cryptocoins
2024-02-11,42577.6229811484,48535.9359097846,42264.8172969015,48293.916750573,157826395447.78,947774152969.59,13.448583070700536,112352389809.31995,Bitcoin,cryptocoins
2024-02-18,48296.3851963696,52820.0669345775,47745.760261073,52122.5454555893,213560041469.69,1023243073518.32,7.9627536066761095,75468920548.72998,Bitcoin,cryptocoins
2024-02-25,52134.8122142975,52945.0525658512,50561.7758617907,51733.2366017007,160769145625.15,1015926591604.23,-0.7150287261591726,-7316481914.089966,Bitcoin,cryptocoins
2024-03-03,51730.5397930603,63913.1318135774,50931.0316078668,63167.3703575333,322895666088.51,1240856664934.87,22.14038644027001,224930073330.64014,Bitcoin,cryptocoins
2024-03-10,63137.0046815427,70083.0516244158,59323.9089421326,69019.7863638058,405709693297.48,1356284493147.36,9.302269268831997,115427828212.48999,Bitcoin,cryptocoins
2024-03-17,69020.5497746578,73750.07385038,64545.3181028634,68390.6228032209,405957750577.11,1343978205472.65,-0.9073529732801511,-12306287674.710205,Bitcoin,cryptocoins
2024-03-24,68371.3072649579,68897.1344141915,60807.785959948,67234.1723529876,328097121682.69,1322058484488.52,-1.6309580687300818,-21919720984.129883,Bitcoin,cryptocoins
2024-03-31,67234.0975756782,71727.6837626186,66414.8322302473,71333.6479258644,216324625835.62,1403108244335.61,6.13057295104813,81049759847.09009,Bitcoin,cryptocoins
2024-04-07,71333.4847168797,71342.0914544441,64559.8999476563,69362.5512776015,229427260104.16,1364795785582.02,-2.730541917080076,-38312458753.59009,Bitcoin,cryptocoins
2024-04-14,69362.5540045166,72715.3596085505,60919.10616167,65738.723886878,288243675431.56,1293922154520.65,-5.192984313850724,-70873631061.37012,Bitcoin,cryptocoins
2024-04-21,65739.6445392053,66878.6469049673,59651.3902645616,64926.643211728,257889555863.56,1278296008665.19,-1.2076573386479272,-15626145855.45996,Bitcoin,cryptocoins
2024-04-28,64935.6331696056,67233.9570363906,62424.7206816789,63113.2316825626,176031088174.54,1242661116273.87,-2.7876870575955337,-35634892391.319824,Bitcoin,cryptocoins
2024-05-05,63106.3642006694,64703.332363219,56555.2940546252,64031.1328085695,217717011806.09,1261203911121.78,1.4921843618564745,18542794847.909912,Bitcoin,cryptocoins
2024-05-12,64038.3135554184,65494.9017248,60208.7815474421,61448.3946717975,161617857128.39,1210435745366.84,-4.025373320463633,-50768165754.93994,Bitcoin,cryptocoins
2024-05-19,61451.2185129853,67694.2987797957,60769.8406689419,66278.3700820502,191456349027.25,1305732230286.08,7.872907362824044,95296484919.23999,Bitcoin,cryptocoins
2024-05-26,66278.7446711611,71946.462688481,66086.1741180514,68518.089965076,225779718034.34,1349968658779.99,3.387863718751727,44236428493.90991,Bitcoin,cryptocoins
2024-06-02,68512.1802655161,70597.8795113327,66633.4183418303,67751.6025754618,170949409909.91998,1335227914032.14,-1.0919323683537763,-14740744747.850098,Bitcoin,cryptocoins
2024-06-09,67753.8954139676,71907.8489829092,67589.8364154256,69647.9930028748,187569500742.38,1372773642949.49,2.8119340917588387,37545728917.3501,Bitcoin,cryptocoins
2024-06-16,69644.3127359651,70146.068326324,65056.8930142447,66639.0465356994,175973271621.27002,1313672583954.16,-4.30522972952393,-59101058995.33008,Bitcoin,cryptocoins
2024-06-23,66636.5154989442,67188.3174738561,63180.7982064002,63180.7982064002,163449015388.04,1245656822237.84,-5.177527684378713,-68015761716.319824,Bitcoin,cryptocoins
2024-06-30,63173.3527128475,63292.5271566001,58601.7000722967,62678.292079457,171030093872.2,1235944779945.39,-0.7796723880179379,-9712042292.450195,Bitcoin,cryptocoins
2024-07-07,62673.6063386528,63777.227541783,53717.3754334207,55849.1106386094,213107531442.72998,1101324021018.89,-10.892133783877323,-134620758926.5,Bitcoin,cryptocoins
2024-07-14,55849.5737694153,61329.5291439691,54321.0190639668,60787.7923701369,187407019961.57,1198755021571.63,8.846715289347973,97431000552.73999,Bitcoin,cryptocoins
2024-07-21,60815.4578978154,68372.9051655897,60704.9291986666,68154.522905866,222161876178.07,1344591292880.38,12.16564424627402,145836271308.75,Bitcoin,cryptocoins
