Age,Gender,Country,Job Title,Trading Volume per Month (USD),Deposit Volume per Month (USD),Withdrawal Volume per Month (USD),Current Balances (USD)
56,Male,Germany,Risk Manager,38125.97,8668.12,5664.24,32505.99
69,Female,UK,Compliance Officer,9050.05,29264.09,29563.4,95581.12
46,Other,USA,Portfolio Manager,11906.81,10440.46,23893.44,84692.53
32,Male,Brazil,Quantitative Analyst,19793.07,12596.48,23678.75,16492.17
60,Other,USA,Compliance Officer,15796.9,241.72,4643.74,54469.31
25,Female,France,Trader,16150.42,21596.48,581.12,49050.73
78,Male,India,Trader,8546.05,12435.82,17581.87,44365.99
38,Female,Canada,Quantitative Analyst,14764.17,3139.04,4366.41,47061.36
56,Other,Australia,Wealth Manager,1081.16,29058.27,23423.98,64288.85
75,Female,Australia,Compliance Officer,23698.26,23334.12,12511.48,96714.94
36,Female,USA,Trader,38452.69,21798.2,10190.9,87532.53
40,Male,UK,Quantitative Analyst,43126.14,28738.28,2255.8,87512.64
28,Female,UK,Broker,41039.39,12254.03,29882.15,70337.67
28,Female,France,Broker,20881.24,21570.08,28682.52,1758.76
41,Female,USA,Analyst,36548.28,6225.93,3991.33,44046.05
70,Male,USA,Compliance Officer,14465.75,20928.76,10017.71,51112.62
53,Other,Australia,Market Strategist,2872.57,471.67,11754.09,84249.13
57,Other,Japan,Quantitative Analyst,33830.98,3832.85,8939.19,92284.21
41,Female,USA,Wealth Manager,32474.93,12786.5,28037.33,45154.59
20,Male,Canada,Portfolio Manager,40101.31,412.18,21654.19,30045.96
39,Female,India,Trader,30843.7,13885.88,28679.7,33735.47
70,Other,India,Financial Advisor,7928.89,15707.61,26241.44,57866.23
19,Male,Canada,Compliance Officer,42672.8,18667.12,22648.52,27497.2
41,Other,Japan,Trader,31399.91,3056.58,20924.16,91073.87
61,Other,UK,Analyst,40399.72,5471.31,25991.57,41865.2
47,Male,Australia,Quantitative Analyst,38727.95,18417.84,20540.29,99006.42
55,Male,India,Wealth Manager,14963.44,19762.72,5702.16,10951.52
19,Female,Germany,Trader,3820.19,825.71,19461.39,18787.92
77,Female,Brazil,Financial Advisor,8907.57,16234.0,15474.3,51159.07
38,Other,Australia,Portfolio Manager,4733.83,23560.2,29457.75,86830.54
50,Male,Japan,Quantitative Analyst,12246.28,2119.57,15323.47,35395.31
29,Male,Germany,Quantitative Analyst,23030.66,12424.53,1201.73,83746.79
75,Female,USA,Market Strategist,45349.85,9829.01,7962.48,42545.26
39,Other,Canada,Analyst,43613.74,27414.29,27525.58,85299.2
78,Other,USA,Quantitative Analyst,35958.13,5614.78,28872.57,27743.14
61,Female,France,Wealth Manager,1303.21,9584.89,21868.53,47189.17
42,Male,China,Quantitative Analyst,17135.32,26958.42,1753.07,27873.13
